Chromatogram and Results								
								
Injection Details								
Injection Name:		D-St9			Run Time (min):	70.00		
Vial Number:		BA5			Injection Volume:	10.00		
Injection Type:		Unknown			Channel:	ED_1		
Calibration Level:					Wavelength:	n.a.		
Instrument Method:		Starches_Martens et al. 2018			Bandwidth:	n.a.		
Processing Method:		Processing			Dilution Factor:	1.0000		
Injection Date/Time:		29-jan-20 00:37			Sample Weight:	1.0000		
								
Chromatogram								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
Integration Results								
No. 	Peak Name	Retention Time	Area 	Height 	Relative Area 	Relative Height 	Amount 	
		min	nC*min	nC	%	%	n.a.	
ED_1	ED_1	ED_1	ED_1	ED_1	ED_1	ED_1	ED_1	
1  		0.133	0.002	0.011	0.00	0.00	n.a.	
2  		0.950	0.887	1.122	1.21	0.20	n.a.	
3  		1.242	0.080	1.458	0.11	0.26	n.a.	
4  		1.333	0.308	4.442	0.42	0.81	n.a.	
5  		1.450	0.118	2.232	0.16	0.40	n.a.	
6  		1.517	0.453	3.483	0.62	0.63	n.a.	
7  		1.708	0.223	1.794	0.30	0.33	n.a.	
8  		1.883	0.674	4.375	0.92	0.79	n.a.	
9  		2.058	0.220	2.217	0.30	0.40	n.a.	
10  		2.158	0.179	2.160	0.24	0.39	n.a.	
11  		2.317	27.743	363.619	37.78	65.99	n.a.	
12  		2.517	0.229	2.612	0.31	0.47	n.a.	
13  		2.675	0.577	2.114	0.79	0.38	n.a.	
14  		2.992	0.590	2.910	0.80	0.53	n.a.	
15  		3.275	0.424	1.752	0.58	0.32	n.a.	
16  		3.508	1.651	1.538	2.25	0.28	n.a.	
17  		4.858	0.713	1.877	0.97	0.34	n.a.	
18  		5.325	1.681	1.394	2.29	0.25	n.a.	
19  		6.775	1.355	1.140	1.84	0.21	n.a.	
20  		8.242	13.141	63.731	17.90	11.57	n.a.	
21  		8.633	0.814	0.873	1.11	0.16	n.a.	
22  		9.858	0.878	0.678	1.20	0.12	n.a.	
23  		11.617	0.760	2.428	1.03	0.44	n.a.	
24  		12.017	0.581	0.966	0.79	0.18	n.a.	
25  		13.100	0.097	0.228	0.13	0.04	n.a.	
26  		14.500	10.268	44.257	13.98	8.03	n.a.	
27  		16.067	0.006	0.032	0.01	0.01	n.a.	
28  		17.133	0.485	1.630	0.66	0.30	n.a.	
29  		17.817	0.032	0.120	0.04	0.02	n.a.	
30  		18.150	0.020	0.069	0.03	0.01	n.a.	
31  		19.508	8.148	33.372	11.10	6.06	n.a.	
32  		19.950	0.027	0.146	0.04	0.03	n.a.	
33  		20.375	0.022	0.088	0.03	0.02	n.a.	
34  		21.558	0.018	0.061	0.02	0.01	n.a.	
35  		23.292	0.010	0.040	0.01	0.01	n.a.	
36  		24.892	0.008	0.036	0.01	0.01	n.a.	
37  		26.317	0.009	0.038	0.01	0.01	n.a.	
Total:			73.429 	551.042 	100.00 	100.00 		
