File Path	chrom://pc-9x9lfs2/ChromeleonLocal/Instrument Data/ICS-6000/Sequence/MD18-Full.seq/264.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ChromeleonLocal
Injection	D-St7
Injection Number	4
Position	BA3
Comment	
Processing Method	Processing
Instrument Method	Starches_Martens et al. 2018
Type	Unknown
Status	Finished
Injection Date	28-1-2020
Injection Time	21:40:31
Injection Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	70.000000
Data Points	8401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-1.515700
Signal Max.	1.026.175915
Channel	ED_1
Driver Name	DC-6000
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0.000000	n.a.	-0.009800
0.008333	0.5	-0.008750
0.016667	0.5	-0.007900
0.025000	0.5	-0.006500
0.033333	0.5	-0.005250
0.041667	0.5	-0.005250
0.050000	0.5	-0.005200
0.058333	0.5	-0.005350
0.066667	0.5	-0.004950
0.075000	0.5	-0.003850
0.083333	0.5	-0.004550
0.091667	0.5	-0.004850
0.100000	0.5	-0.004700
0.108333	0.5	-0.005350
0.116667	0.5	-0.005300
0.125000	0.5	-0.003300
0.133333	0.5	-0.004200
0.141667	0.5	-0.003750
0.150000	0.5	-0.003600
0.158333	0.5	-0.000900
0.166667	0.5	-0.004400
0.175000	0.5	-0.004700
0.183333	0.5	-0.005100
0.191667	0.5	-0.006050
0.200000	0.5	-0.005450
0.208333	0.5	-0.005100
0.216667	0.5	-0.004050
0.225000	0.5	-0.001900
0.233333	0.5	-0.003650
0.241667	0.5	-0.001350
0.250000	0.5	-0.000800
0.258333	0.5	-0.002700
0.266667	0.5	-0.002400
0.275000	0.5	-0.001300
0.283333	0.5	-0.003550
0.291667	0.5	-0.001650
0.300000	0.5	-0.002800
0.308333	0.5	-0.002350
0.316667	0.5	-0.004700
0.325000	0.5	-0.003350
0.333333	0.5	-0.006500
0.341667	0.5	-0.006550
