Samples	water	D-St6	D-St7	D-St8	D-St9
0.000	-0.0116	-0.01235	-0.0098	-0.0109	-0.0128
0.008	-0.00905	-0.00725	-0.00875	-0.00855	-0.00905
0.017	-0.0081	-0.0054	-0.0079	-0.00855	-0.00505
0.025	-0.0064	-0.0055	-0.0065	-0.00655	-0.0054
0.033	-0.0066	-0.0047	-0.00525	-0.0063	-0.00385
0.042	-0.0049	-0.00515	-0.00525	-0.0039	-0.0035
0.050	-0.0053	-0.0045	-0.0052	-0.00185	-0.00045
0.058	-0.0031	-0.0034	-0.00535	-0.0029	-0.00295
0.067	-0.0029	-0.0033	-0.00495	-0.0035	-0.00385
0.075	-0.0033	-0.0025	-0.00385	-0.00085	-0.00285
0.083	-0.00435	-0.0027	-0.00455	-0.0018	-0.00445
0.092	-0.0043	-0.0009	-0.00485	-0.00085	-0.00205
0.100	-0.00215	-0.00145	-0.0047	-0.00125	-0.00315
0.108	-0.0025	-0.0031	-0.00535	-0.00035	-0.0015
0.117	-0.0027	-0.0011	-0.0053	0.00105	-0.00055
0.125	-0.0003	-0.0026	-0.0033	-0.0012	0.00065
0.133	0.0001	-0.0031	-0.0042	0.00045	0.003
0.142	0.0011	-0.0025	-0.00375	-0.00035	-0.00025
0.150	0.0007	-5e-05	-0.0036	-0.0021	-0.0003
0.158	0.0021	-0.0001	-0.0009	-0.0029	-0.0004
0.167	0.0009	0.0015	-0.0044	-0.0037	0.00035
0.175	0.00055	0.00115	-0.0047	-0.0041	0.00235
0.183	0.0007	0.00175	-0.0051	-0.00355	0.00125
0.192	0.0002	0.0004	-0.00605	-0.00285	0.0003
0.200	0.0013	0.0001	-0.00545	-0.00375	0.00105
0.208	0.00035	-0.0002	-0.0051	-0.00265	-0.0024
0.217	-0.00125	0.0019	-0.00405	-0.00345	-0.0021
0.225	-0.00215	0.00125	-0.0019	-0.0038	-0.00025
0.233	-0.00385	-5e-05	-0.00365	-0.00245	-0.00085
0.242	-0.00535	0.0008	-0.00135	0.00025	-0.00305
0.250	-0.0024	-0.00185	-0.0008	-0.00145	-0.0014
0.258	-0.0031	-5e-05	-0.0027	-0.0029	0.0005
0.267	-0.0041	0.0012	-0.0024	-0.003	-5e-05
0.275	-0.0047	-0.0012	-0.0013	-0.0013	-0.00215
0.283	-0.004	-0.00105	-0.00355	-0.00275	-0.00265
0.292	-0.0036	-0.00065	-0.00165	-0.00335	-0.0005
0.300	-0.0029	-0.00125	-0.0028	-0.00205	0.0025
0.308	-0.0018	0.0001	-0.00235	-0.00055	0.0008
0.317	-0.00235	-0.00045	-0.0047	0.00155	0.0009
0.325	-0.00115	-0.00325	-0.00335	0.00115	-0.00125
0.333	-0.00515	-0.00105	-0.0065	0.00195	-0.00205
0.342	-0.0047	0.00045	-0.00655	0.002	-0.00155
0.350	-0.0046	-0.0006	-0.0081	-0.00035	-0.002
0.358	-0.0051	-0.0037	-0.00515	0.00065	0.0013
0.367	-0.0044	-0.00255	-0.00585	-0.00085	-0.00035
0.375	-0.00445	-0.0032	-0.0049	0.00025	0.0023
0.383	-0.00115	-0.00175	-0.00495	-5e-05	0.00195
0.392	-0.0019	-0.0031	-0.00535	-0.00195	0.00365
0.400	-0.00025	-0.00155	-0.00495	-0.00145	0.0044
0.408	0.00025	-0.00095	-0.00375	-0.0044	0.0032
0.417	-0.00085	0.0009	-0.0036	-0.0058	0.0018
0.425	-0.0015	0.0012	-0.00375	-0.00625	0.00105
0.433	-0.00185	-0.0003	-0.0063	-0.0046	0.00235
0.442	-0.00065	0.00135	-0.0066	-0.00265	0.00255
0.450	-0.0005	0.0002	-0.00525	-0.00405	0.00065
0.458	-0.002	-0.0007	-0.00715	-0.0051	0.0013
0.467	-0.0012	-0.00095	-0.00495	-0.00535	0.00025
