Volume	water	STD1	STD 3	Sample
5.400				0.0
5.417				1.68586
5.433				1.45493
5.450				0.324927
5.467				0.523284
5.483				0.314289
5.500				0.0401282
5.517				0.0
5.533				0.0
5.550				0.353154
5.567		0.0		0.0250079
5.583		0.954732		0.0755043
5.600		0.119015		0.028659
5.617		0.727167		0.0
5.633		1.22952		0.0
5.650		0.861268		0.0
5.667		2.2759		0.0
5.683		2.54665		0.0
5.700		2.38411		0.0
5.717		3.4257		0.0
5.733		3.11048		0.121976
5.750		3.91999		0.0
5.767		3.38819		0.0
5.783		2.51016		0.0
5.800		2.63808		0.0
5.817		4.10555		0.0
5.833		3.94018		0.0
5.850		3.71183		0.0
5.867		4.36636		0.0
5.883		3.06917		0.0
5.900		3.02168		0.0
5.917		4.91856		0.0
5.933		3.79365		0.0
5.950		2.86119		0.0
5.967		4.09995		0.0
5.983		5.28421		0.0
6.000		5.25652		0.0
6.017		3.72892		0.0
6.033		3.55713		0.0
6.050		3.95422		0.0
6.067		2.77352		0.0
6.083		2.64576		0.0
6.100		3.27683		0.0
6.117		3.0015		0.0
6.133		1.69513		0.0
6.150		2.0807		0.0
6.167		2.61962		0.0
6.183		1.80947		0.0
6.200		2.60262		0.0
6.217		2.2529		0.0
6.233		3.05924		0.0
6.250		3.13		0.0
6.267		2.90339		0.0
6.283		3.15239		0.0
6.300		3.51823		0.0
6.317		2.03507		0.0
6.333		2.37794		0.0
6.350		1.72654		0.0
6.367		3.01178		0.0
6.383		3.07961		0.0
6.400		2.81139		0.0
6.417		1.9799		0.0
6.433		1.68971		0.0
6.450		1.46497		0.0
6.467		1.98053		0.0
6.483		2.19026		0.0
6.500		0.579531		0.0
6.517		1.81672		0.0
6.533		1.16495		0.0
6.550		0.0474793		0.0
6.567		0.607075		0.0
6.583		2.03817		0.0
6.600		0.770412		0.0
6.617		0.896611		0.0
6.633		0.874401		0.0
6.650		0.148515		0.0
6.667		0.881813		0.0
6.683		2.08956		0.0
6.700		2.3124		0.0
6.717		2.97838		0.0
6.733		2.64994		0.0
6.750		1.90636		0.0
6.767		1.01058		0.0
6.783		1.11343		0.0
6.800		0.64709		0.0
6.817		0.852321		0.0
6.833		0.0290135		0.0
6.850		0.203526		0.0
6.867		0.0		0.0
6.883		0.0		0.0
6.900		0.0		0.0
6.917		0.0		0.0
6.933		0.0		0.0
6.950		0.0		0.0
6.967		0.0		0.0
6.983		0.0		0.0
7.000		0.0		0.0
7.017		0.0		0.0
7.033		0.0		0.0
7.050		0.0		0.0
7.067		0.0		0.0
7.083		0.0		0.0
7.100		0.0		0.0
7.117		0.0		0.0
7.133		0.0		0.0
7.150		0.0		0.0
7.167		0.0		0.0
7.183		0.0		0.0
7.200		0.0		0.0
7.217		0.0		0.0
7.233		0.0		0.0
7.250		0.0		0.0
7.267		0.0		0.0
7.283		0.0409643		0.0
7.300		0.481141		0.0
7.317		0.0		0.0
7.333		0.0		0.0
7.350		0.0		0.0
7.367		0.0		0.0
7.383		0.0		0.0
7.400		0.0		0.0
7.417		0.0		0.0
7.433		0.0		0.0
7.450		0.0		0.0
7.467		0.0		0.0
7.483		0.0		0.0
7.500		0.0		0.0
7.517		0.0		0.0
7.533		0.0		0.431843
7.550		0.0		0.448184
7.567		0.0		0.0
7.583		0.0		0.0
7.600		0.0		0.0427942
7.617		0.0		0.0455386
7.633		0.0		0.0
7.650		0.0		0.165104
7.667		0.00992421		0.709035
7.683		0.279776		0.580698
7.700		1.08297		0.0
7.717		1.58133		0.0
7.733		2.22357		0.0
7.750		1.74536		0.0
7.767		0.707463		0.0
7.783		0.0302259		0.357396
7.800		1.12452		0.686699
7.817		2.14868		0.0
7.833		1.31758		0.0
7.850		1.50081		0.0
7.867		1.62828		0.0
7.883		1.29507		0.0
7.900		0.0		0.211384
7.917		0.00268176		0.255023
7.933		0.194097		0.0
7.950		0.0		0.0
7.967		0.0		0.0
7.983		0.0		0.0
8.000		0.0		0.0
8.017		0.0		0.0
8.033		0.717631		0.0
8.050		0.490472		0.0441113
8.067		0.000887903		0.329756
8.083		0.0		0.488754
8.100		0.0		0.714111
8.117		0.0		2.78322
8.133		0.0		2.50398
8.150		0.0		1.97567
8.167		0.0		1.32075
8.183		0.374706		1.16767
8.200		2.40725		3.02989
8.217		1.4446		4.80138
8.233		2.86935		4.64899
8.250		0.975114		3.47672
8.267		1.28135		3.46566
8.283		0.98083		2.89574
8.300		0.728135		3.03673
8.317		0.968188		4.37514
8.333		0.752472		3.91144
8.350		0.633542		2.36139
8.367		0.286599		2.00416
8.383		0.973273		2.19939
8.400		0.977669		2.85557
8.417		0.37469		3.69358
8.433		0.0136711		5.06052
8.450		1.711		5.40424
8.467		1.13383		5.67912
8.483		1.60683		5.58707
8.500		2.01508		6.07398
8.517		1.88957		7.11574
8.533		2.46664		7.83972
8.550		3.63273		6.64969
8.567		4.21864		5.39544
8.583		1.81861		4.86758
8.600		2.99501		5.35713
8.617		3.22686		4.70837
8.633		2.61957		4.85638
8.650		1.12559		5.47271
8.667		1.36286		5.65794
8.683		0.188705		5.665
8.700		0.00704459		6.17818
8.717		0.0		7.20399
8.733		0.0		6.69647
8.750		0.0		6.26633
8.767		0.0		7.44837
8.783		0.239712		7.19673
8.800		0.0		6.12256
8.817		0.0		6.54235
8.833		0.0		5.32803
8.850		0.693341		5.04492
8.867		1.60257		6.11605
8.883		0.665956		5.68276
8.900		0.0496203		5.32132
8.917		0.0		3.78338
8.933		1.75311		3.96837
8.950		0.0698317		4.13301
8.967		0.28925		3.77057
8.983		0.0307053		3.76261
9.000		0.0		4.94271
9.017		0.0		5.26608
9.033		0.054769		5.72923
9.050		0.00623063		6.18897
9.067		0.0		4.95064
9.083		0.0		3.53926
9.100		0.0		3.00754
9.117		0.0		3.08618
9.133		0.0		3.22285
9.150		0.0		4.12109
9.167		0.0		5.58909
9.183		0.0		5.77029
9.200		0.0		5.89592
9.217		0.0		5.49226
9.233		0.0		6.41306
9.250		0.0		5.91921
9.267		0.0		4.62788
9.283		0.0		4.40131
9.300		0.0		4.40463
9.317		0.0		4.08338
9.333		0.0		4.36289
9.350		0.0		3.49288
9.367		0.0		3.77954
9.383		0.0		4.34503
9.400		0.0		4.55112
9.417		0.0		4.12667
9.433		0.0		3.1075
9.450		0.0		3.07377
9.467		0.0		2.02991
9.483		0.0		0.388692
9.500		0.0		0.535077
9.517		0.0		1.57893
9.533		0.0		0.705237
9.550		0.0		0.0
9.567		0.0		0.0
9.583		0.0		0.0
9.600		0.0		0.0
9.617		0.0		0.0
9.633		0.0		0.0
9.650		0.0		0.0
9.667		0.0		0.0
9.683		0.0		0.0
9.700		0.0		0.0
9.717		0.0		0.0
9.733		0.0		0.0
9.750		0.0		0.0
9.767		0.0		0.0
9.783		0.0		0.0
9.800		0.0		0.0
9.817		0.0		0.0
9.833		0.0		0.0
9.850		0.0		0.0
9.867		0.0		0.0
9.883		0.0		0.0
9.900		0.0		0.0
9.917		0.0		0.0
9.933		0.0		0.0
9.950		0.0		0.0
9.967		0.0		0.0
9.983		0.0		0.0
10.000		0.0		0.0
10.017		0.0		0.0
10.033		0.0		0.0
10.050		0.0		0.0
10.067		0.0		0.0
10.083		0.0		0.0
10.100		0.0		0.0
10.117		0.0		0.0
10.133		0.0		0.0
10.150		0.0		0.0
10.167		0.0		0.0
10.183		0.0		0.0
10.200		0.0		0.0
10.217		0.0		0.0
10.233		0.0		0.0
10.250		0.0		0.0
10.267		0.0		0.0
10.283		0.0		0.0
10.300		0.0		0.0
10.317		0.0		0.0
10.333		0.0		0.0
10.350		0.0		0.0
10.367		0.0		0.0
10.383		0.0		0.0
10.400		0.0		0.0
10.417		0.0		0.0
10.433		0.0		0.0
10.450		0.0		0.0
10.467		0.0		0.0
10.483		0.0		0.0
10.500		0.0		0.0
10.517		0.0		0.0
10.533		0.0		0.0
10.550		0.0		0.0
10.567		0.0		0.0
10.583		0.0		0.0
10.600		0.0		0.0
10.617		0.0		0.0
10.633		0.0		0.0
10.650		0.0		0.0
10.667		0.0		0.0
10.683		0.0		0.0
10.700		0.0		0.0
10.717		0.0		0.0
10.733		0.0		0.0
10.750		0.0		0.0
10.767		0.0		0.0
10.783		0.0		0.0
10.800		0.0		0.0
10.817		0.0		0.0
10.833		0.0		0.0
10.850		0.0		0.0
10.867		0.0		0.0
10.883		0.0		0.0
10.900		0.0		0.0
10.917		0.0		0.0
10.933		0.0		0.0
10.950		0.0		0.0
10.967		0.0		0.0
10.983		0.0		0.0
11.000		0.0		0.0
11.017		0.0		0.0
11.033		0.0		0.0
11.050		0.0		0.0
11.067		0.0		0.0
11.083		0.0		0.0
11.100		0.0		0.0
11.117		0.0		0.0
11.133		0.0		0.0
11.150		0.0		0.0
11.167		0.0		0.0
11.183		0.0		0.0
11.200		0.0		0.0
11.217		0.0		0.0
11.233		0.0		0.0
11.250		0.0		0.0
11.267		0.0		0.0
11.283		0.0		0.0
11.300		0.0		0.0
11.317		0.0		0.0
11.333		0.0		0.0
11.350		0.0		0.0
11.367		0.0		0.0
11.383		0.0		0.0
11.400		0.0		0.0
11.417		0.0		0.0
11.433		0.0		0.0
11.450		0.0		0.0
11.467		0.0		0.0
11.483		0.0		0.0
11.500		0.0		0.0
11.517		0.0		0.0
11.533		0.0		0.0
11.550		0.0		0.0
11.567		0.0		0.0
11.583		0.0		0.0
11.600		0.0		0.0119145
11.617		0.0		0.27338
11.633		0.0		4.28431
11.650		0.0		7.40832
11.667		0.0		10.3829
11.683		0.0		12.1061
11.700		0.0		15.178
11.717		0.0		18.9755
11.733		0.0		21.7556
11.750		0.0		24.0277
11.767		0.0		26.3345
11.783		0.0		35.9358
11.800		0.0		39.3818
11.817		0.0		44.0777
11.833		0.0		47.8731
11.850		0.0		53.5459
11.867		0.0		57.2898
11.883		0.0		63.3732
11.900		0.0		67.452
11.917		0.0		71.3137
11.933		0.0		75.817
11.950		0.0		89.3482
11.967		0.0		94.4749
11.983		0.0		99.7629
12.000		0.0		105.325
12.017		0.0		111.79
12.033		0.0		117.501
12.050		0.0		125.002
12.067		0.0		131.576
12.083		0.0		138.125
12.100		0.0	0.0	145.326
12.117		0.0	0.557982	157.992
12.133		0.0	0.754184	165.354
12.150		0.0	0.535511	172.374
12.167		0.0	0.531168	179.888
12.183		0.0	0.632922	188.176
12.200		0.0	0.106523	196.609
12.217		0.0	0.587451	205.604
12.233		0.0	0.105927	212.773
12.250		0.0	1.71935	221.249
12.267		0.0	1.27495	239.815
12.283		0.0	0.641952	249.807
12.300		0.0	0.628473	260.146
12.317		0.0	2.85724	271.021
12.333		0.0	1.67952	279.243
12.350		0.0	1.40392	289.742
12.367		0.0	2.06863	303.044
12.383		0.0	2.02879	314.681
12.400		0.0	1.14233	326.264
12.417		0.0	1.33507	336.706
12.433		0.0	1.84318	361.416
12.450		0.0	3.56261	375.457
12.467		0.0	1.68865	389.228
12.483		0.0493172	0.89493	401.786
12.500		0.68694	1.36597	416.681
12.517		1.43915	2.398	432.065
12.533		1.68395	2.74825	445.779
12.550		1.60703	2.34111	462.036
12.567		2.08938	3.57102	475.603
12.583		3.48602	2.89819	504.106
12.600		4.59984	3.27159	517.941
12.617		6.29356	2.50056	533.635
12.633		8.01255	2.82179	547.965
12.650		10.4795	2.81849	564.531
12.667		12.1355	2.54688	580.183
12.683		12.451	2.96819	596.992
12.700		14.0847	2.11714	613.08
12.717		15.979	1.96399	627.356
12.733		17.326	2.09786	642.236
12.750		19.5615	1.61409	673.268
12.767		23.2395	1.02619	687.555
12.783		26.3287	1.03094	702.901
12.800		29.1736	1.41944	717.327
12.817		31.4193	1.69827	729.59
12.833		34.3553	2.32303	741.711
12.850		36.5887	1.39633	757.263
12.867		38.7005	2.77585	770.466
12.883		42.9707	4.09361	784.261
12.900		48.2274	5.36475	809.476
12.917		57.5117	2.18529	822.299
12.933		63.5867	2.90282	835.693
12.950		69.1548	3.77759	848.728
12.967		73.5179	3.93869	857.5
12.983		77.673	4.20017	869.977
13.000		82.3404	5.28616	882.197
13.017		87.2957	7.54222	893.928
13.033		92.8523	8.37506	907.067
13.050		99.1031	8.56037	922.379
13.067		114.109	10.9718	948.636
13.083		120.969	13.8301	960.921
13.100		128.097	14.8066	973.097
13.117		136.416	17.2213	985.891
13.133		144.648	25.3862	1000.17
13.150		152.649	28.6751	1014.1
13.167		160.65	32.2724	1028.04
13.183		168.8	37.0205	1041.82
13.200		178.671	42.1817	1057.1
13.217		196.52	47.7081	1071.79
13.233		205.436	54.7521	1100.8
13.250		214.348	64.0979	1114.93
13.267		223.505	74.8203	1128.84
13.283		234.107	85.3878	1146.24
13.300		246.197	95.4672	1163.75
13.317		257.013	107.825	1179.76
13.333		268.383	121.007	1194.37
13.350		281.399	134.731	1210.76
13.367		306.913	166.18	1226.06
13.383		320.796	184.927	1261.2
13.400		335.329	205.857	1278.02
13.417		348.773	228.153	1296.0
13.433		361.81	253.586	1313.29
13.450		375.814	280.04	1332.18
13.467		389.762	307.174	1349.18
13.483		404.7	335.681	1366.81
13.500		420.913	365.744	1384.43
13.517		455.646	400.336	1402.17
13.533		471.748	435.28	1421.46
13.550		487.578	471.801	1457.31
13.567		504.175	510.098	1477.7
13.583		520.946	550.788	1495.71
13.600		538.802	639.413	1514.49
13.617		556.329	686.499	1534.85
13.633		573.366	736.251	1554.85
13.650		590.474	788.229	1573.63
13.667		609.175	837.814	1594.36
13.683		645.667	890.564	1615.94
13.700		663.673	946.086	1653.63
13.717		683.355	1003.25	1674.54
13.733		702.275	1059.91	1693.82
13.750		720.476	1117.87	1713.13
13.767		740.189	1175.3	1732.35
13.783		761.531	1235.19	1749.99
13.800		780.942	1295.08	1767.6
13.817		800.252	1414.18	1787.17
13.833		837.621	1474.85	1807.99
13.850		855.873	1536.01	1826.35
13.867		875.427	1596.86	1858.3
13.883		896.754	1656.66	1878.35
13.900		915.824	1714.82	1896.14
13.917		934.038	1770.53	1911.53
13.933		953.81	1825.12	1927.67
13.950		974.215	1878.67	1947.79
13.967		994.804	1932.22	1964.17
13.983		1031.63	1981.0	1980.99
14.000		1050.68	2029.73	1997.74
14.017		1070.54	2077.04	2028.5
14.033		1089.93	2121.9	2042.68
14.050		1108.97	2203.57	2057.96
14.067		1127.23	2239.34	2074.54
14.083		1145.97	2272.48	2089.83
14.100		1165.24	2302.49	2104.53
14.117		1184.1	2330.11	2118.69
14.133		1218.54	2354.62	2131.61
14.150		1234.91	2376.47	2144.49
14.167		1250.2	2393.94	2156.7
14.183		1266.18	2408.63	2183.78
14.200		1281.17	2420.33	2194.68
14.217		1296.41	2426.52	2206.91
14.233		1311.52	2429.31	2218.21
14.250		1325.35	2430.85	2228.09
14.267		1339.63	2428.82	2237.53
14.283		1365.32	2415.36	2246.78
14.300		1376.29	2404.21	2256.74
14.317		1387.93	2389.26	2269.09
14.333		1397.43	2371.65	2279.2
14.350		1404.78	2350.85	2298.31
14.367		1412.82	2328.46	2306.5
14.383		1420.14	2303.71	2314.3
14.400		1427.21	2277.53	2322.42
14.417		1432.66	2248.48	2330.69
14.433		1440.74	2216.27	2340.77
14.450		1443.5	2184.59	2348.51
14.467		1445.52	2151.15	2356.1
14.483		1447.35	2114.67	2364.1
14.500		1447.64	2037.28	2381.53
14.517		1446.13	1997.02	2389.15
14.533		1443.23	1956.6	2396.3
14.550		1439.42	1914.47	2402.58
14.567		1434.93	1871.77	2410.68
14.583		1423.7	1829.29	2416.1
14.600		1415.33	1787.27	2422.8
14.617		1407.59	1744.8	2430.35
14.633		1399.59	1701.18	2438.24
14.650		1390.48	1656.77	2444.59
14.667		1379.44	1612.56	2462.26
14.683		1367.95	1568.45	2470.23
14.700		1355.32	1522.75	2479.0
14.717		1342.59	1477.23	2487.27
14.733		1330.51	1392.6	2494.3
14.750		1302.43	1352.52	2500.93
14.767		1287.21	1312.63	2508.91
14.783		1271.25	1272.01	2516.72
14.800		1255.43	1232.15	2524.18
14.817		1241.2	1193.05	2542.5
14.833		1223.9	1155.56	2550.1
14.850		1205.44	1119.38	2557.47
14.867		1188.04	1083.25	2565.39
14.883		1171.26	1047.54	2574.56
14.900		1135.33	1012.5	2583.77
14.917		1117.37	977.959	2592.57
14.933		1099.19	945.095	2601.48
14.950		1079.59	913.924	2610.31
14.967		1059.89	856.129	2620.79
14.983		1043.15	828.178	2641.51
15.000		1025.58	801.56	2653.15
15.017		1007.51	775.656	2662.26
15.033		989.726	749.137	2672.39
15.050		953.88	722.546	2682.44
15.067		935.774	697.366	2692.65
15.083		918.794	673.69	2704.52
15.100		902.892	650.843	2715.94
15.117		885.884	628.721	2726.27
15.133		869.16	607.3	2738.12
15.150		853.359	586.448	2759.37
15.167		839.119	566.04	2770.55
15.183		823.801	531.395	2782.92
15.200		790.239	514.167	2794.76
15.217		775.883	497.924	2806.33
15.233		760.9	482.429	2817.69
15.250		747.834	467.848	2828.94
15.267		734.181	452.93	2842.39
15.283		719.906	438.106	2854.06
15.300		705.421	424.665	2875.22
15.317		691.951	411.449	2885.19
15.333		678.905	399.164	2895.76
15.350		654.199	387.407	2907.29
15.367		642.363	375.983	2917.7
15.383		631.464	364.188	2927.29
15.400		619.211	352.6	2938.28
15.417		606.556	334.06	2949.44
15.433		595.6	324.54	2959.6
15.450		585.27	315.315	2969.24
15.467		575.128	306.026	2993.47
15.483		565.36	297.114	3004.09
15.500		545.184	289.015	3015.13
15.517		534.499	281.74	3025.43
15.533		524.092	274.223	3033.25
15.550		513.464	267.83	3040.77
15.567		505.31	262.848	3050.29
15.583		496.547	257.487	3058.7
15.600		488.785	252.53	3067.64
15.617		480.638	246.977	3082.62
15.633		470.576	241.392	3090.52
15.650		454.172	229.229	3098.54
15.667		446.128	225.672	3105.56
15.683		437.856	223.828	3112.2
15.700		429.889	222.0	3118.85
15.717		421.572	220.253	3125.41
15.733		415.327	218.277	3131.92
15.750		406.6	216.952	3137.85
15.767		398.892	216.958	3144.26
15.783		392.369	217.408	3155.18
15.800		386.003	217.074	3158.79
15.817		370.283	217.385	3163.53
15.833		363.317	219.836	3167.14
15.850		354.877	223.386	3170.15
15.867		347.815	231.12	3175.09
15.883		340.728	234.553	3177.97
15.900		332.97	240.379	3179.8
15.917		326.1	248.438	3181.72
15.933		321.362	256.956	3184.33
15.950		315.214	266.479	3185.94
15.967		303.119	277.363	3187.17
15.983		297.527	290.763	3186.69
16.000		291.47	303.929	3186.16
16.017		284.668	318.163	3185.26
16.033		278.523	334.731	3184.99
16.050		274.959	353.496	3184.2
16.067		268.6	374.871	3182.88
16.083		262.462	398.708	3180.22
16.100		257.477	448.76	3174.92
16.117		246.566	476.641	3172.29
16.133		242.077	506.599	3168.74
16.150		235.6	538.841	3165.32
16.167		230.662	573.19	3162.64
16.183		224.81	610.495	3158.13
16.200		220.973	651.494	3151.89
16.217		215.648	694.249	3145.81
16.233		211.284	738.514	3139.33
16.250		207.193	785.62	3132.6
16.267		198.115	834.6	3118.03
16.283		193.671	884.921	3111.35
16.300		189.295	939.296	3104.09
16.317		185.917	996.574	3096.92
16.333		181.373	1118.03	3089.74
16.350		177.039	1181.35	3082.11
16.367		173.093	1246.92	3073.75
16.383		168.314	1313.55	3065.22
