Volume	water	STD1	STD 3	Sample
0.000				-3533.9
0.017				-3536.48
0.033				-3535.11
0.050				-3534.68
0.067				-3534.69
0.083		-3523.95	-3206.09	-3536.71
0.100		-3524.18	-3234.0	-3537.04
0.117		-3524.18	-3234.0	-3537.04
0.133		-3524.11	-3238.03	-3537.04
0.150		-3523.02	-3249.83	-3535.28
0.167		-3522.21	-3265.47	-3534.51
0.183		-3523.07	-3281.56	-3535.19
0.200		-3523.4	-3297.2	-3535.15
0.217		-3522.14	-3310.96	-3533.82
0.233		-3522.36	-3322.49	-3533.24
0.250		-3522.74	-3333.61	-3533.73
0.267		-3522.18	-3344.16	-3535.05
0.283		-3523.13	-3353.2	-3535.1
0.300		-3521.12	-3361.6	-3532.67
0.317		-3522.31	-3370.41	-3532.35
0.333		-3522.93	-3377.69	-3532.06
0.350		-3522.37	-3384.88	-3532.83
0.367		-3523.38	-3392.85	-3533.97
0.383		-3524.2	-3398.95	-3532.54
0.400		-3524.23	-3403.98	-3533.14
0.417		-3524.04	-3409.47	-3532.91
0.433		-3523.83	-3414.7	-3533.19
0.450		-3524.36	-3419.93	-3533.75
0.467		-3524.84	-3424.19	-3534.57
0.483		-3523.73	-3427.28	-3532.61
0.500		-3525.35	-3431.6	-3532.95
0.517		-3525.11	-3436.34	-3534.08
0.533		-3523.82	-3439.24	-3532.78
0.550		-3522.12	-3441.54	-3531.95
0.567		-3523.11	-3443.99	-3533.65
0.583		-3524.16	-3446.79	-3531.22
0.600		-3523.58	-3448.95	-3531.09
0.617		-3524.23	-3450.89	-3532.89
0.633		-3523.78	-3453.61	-3531.9
0.650		-3523.36	-3457.0	-3532.38
0.667		-3524.97	-3458.82	-3531.52
0.683		-3526.0	-3460.65	-3532.57
0.700		-3525.11	-3463.14	-3532.36
0.717		-3524.07	-3464.44	-3532.11
0.733		-3525.51	-3466.11	-3534.0
0.750		-3525.91	-3468.56	-3534.84
0.767		-3526.13	-3470.99	-3535.86
0.783		-3524.99	-3472.49	-3536.16
0.800		-3526.03	-3473.12	-3536.91
0.817		-3526.34	-3474.27	-3536.82
0.833		-3526.96	-3476.08	-3537.15
0.850		-3527.02	-3476.67	-3537.25
0.867		-3526.73	-3477.14	-3536.04
0.883		-3525.87	-3478.38	-3535.94
0.900		-3524.6	-3479.06	-3536.2
0.917		-3525.09	-3479.58	-3534.6
0.933		-3525.6	-3480.59	-3535.26
0.950		-3524.94	-3482.06	-3535.87
0.967		-3525.18	-3483.61	-3534.53
0.983		-3525.64	-3484.53	-3535.49
1.000		-3525.96	-3484.62	-3536.4
1.017		-3525.33	-3485.23	-3537.76
1.033		-3524.12	-3485.63	-3536.53
1.050		-3525.07	-3486.52	-3537.4
1.067		-3523.82	-3487.87	-3537.03
1.083		-3523.72	-3488.74	-3536.81
1.100		-3525.06	-3488.77	-3536.47
1.117		-3525.91	-3488.88	-3536.06
1.133		-3526.15	-3490.03	-3536.06
1.150		-3525.86	-3489.48	-3536.09
1.167		-3528.3	-3489.19	-3536.46
1.183		-3528.17	-3489.96	-3537.15
1.200		-3528.74	-3490.78	-3535.34
1.217		-3528.57	-3491.8	-3535.22
1.233		-3528.52	-3492.82	-3536.24
1.250		-3527.83	-3493.38	-3536.7
1.267		-3527.86	-3493.0	-3536.58
1.283		-3527.6	-3493.38	-3537.42
1.300		-3527.3	-3493.54	-3537.95
1.317		-3526.21	-3494.34	-3537.58
1.333		-3527.3	-3495.83	-3536.75
1.350		-3528.25	-3496.17	-3536.69
1.367		-3527.27	-3496.48	-3536.0
1.383		-3526.04	-3497.68	-3536.41
1.400		-3525.16	-3498.0	-3536.23
1.417		-3525.88	-3497.96	-3537.26
1.433		-3526.89	-3498.64	-3537.37
1.450		-3526.93	-3500.38	-3537.21
1.467		-3526.96	-3502.2	-3535.78
1.483		-3526.6	-3502.64	-3535.17
1.500		-3526.56	-3502.98	-3535.37
1.517		-3525.57	-3502.94	-3536.63
1.533		-3527.43	-3504.82	-3536.87
1.550		-3527.3	-3506.67	-3537.33
1.567		-3527.18	-3508.06	-3538.69
1.583		-3525.82	-3510.36	-3539.3
1.600		-3524.72	-3512.17	-3540.02
1.617		-3525.26	-3513.36	-3540.35
1.633		-3526.67	-3514.66	-3540.86
1.650		-3526.58	-3517.39	-3539.72
1.667		-3527.22	-3519.95	-3540.7
1.683		-3526.0	-3521.68	-3542.43
1.700		-3525.44	-3524.55	-3545.17
1.717		-3525.88	-3527.07	-3545.93
1.733		-3526.47	-3528.44	-3547.82
1.750		-3526.68	-3530.76	-3547.45
1.767		-3525.46	-3533.26	-3548.02
1.783		-3527.54	-3535.19	-3549.63
1.800		-3528.23	-3536.94	-3551.77
